latitude,longitude,id
-74,-180,05596
-74,-179,05597
-74,-178,05598
-74,-177,05599
-74,-176,05600
-74,-175,05601
-74,-174,05602
-74,-173,05603
-74,-172,05604
-74,-171,05605
-74,-170,05606
-74,-169,05607
-74,-168,05608
-74,-167,05609
-74,-166,05610
-74,-165,05611
-74,-164,05612
-74,-163,05613
-74,-162,05614
-74,-161,05615
-74,-160,05616
-74,-159,05617
-74,-158,05618
-74,-157,05619
-74,-156,05620
-74,-155,05621
-74,-154,05622
-74,-153,05623
-74,-152,05624
-74,-151,05625
-74,-150,05626
-74,-149,05627
-74,-148,05628
-74,-147,05629
-74,-146,05630
-74,-145,05631
-74,-144,05632
-74,-143,05633
-74,-142,05634
-74,-141,05635
-74,-140,05636
-74,-139,05637
-74,-138,05638
-74,-137,05639
-74,-136,05640
-74,-135,05641
-74,-134,05642
-74,-133,05643
-74,-132,05644
-74,-131,05645
-74,-130,05646
-74,-129,05647
-74,-128,05648
-74,-127,05649
-74,-126,05650
-74,-125,05651
-74,-124,05652
-74,-123,05653
-74,-122,05654
-74,-121,05655
-74,-120,05656
-74,-119,05657
-74,-118,05658
-74,-117,05659
-74,-116,05660
-74,-115,05661
-74,-114,05662
-74,-113,05663
-74,-112,05664
-74,-111,05665
-74,-110,05666
-74,-109,05667
-74,-108,05668
-74,-107,05669
-74,-106,05670
-74,-105,05671
-74,-104,05672
-74,-103,05673
-74,-102,05674
-74,-63,05713
-74,-62,05714
-74,-61,05715
-74,-60,05716
-74,-59,05717
-74,-58,05718
-74,-57,05719
-74,-56,05720
-74,-55,05721
-74,-54,05722
-74,-53,05723
-74,-52,05724
-74,-51,05725
-74,-50,05726
-74,-49,05727
-74,-48,05728
-74,-47,05729
-74,-46,05730
-74,-45,05731
-74,-44,05732
-74,-43,05733
-74,-42,05734
-74,-41,05735
-74,-40,05736
-74,-39,05737
-74,-38,05738
-74,-37,05739
-74,-36,05740
-74,-35,05741
-74,-34,05742
-74,-33,05743
-74,-32,05744
-74,-31,05745
-74,-30,05746
-74,-29,05747
-74,-28,05748
-74,-27,05749
-74,-26,05750
-74,-25,05751
-74,-23,05753
-74,-22,05754
-74,-21,05755
-74,-20,05756
-74,-19,05757
-74,-18,05758
-74,-17,05759
-74,164,05579
-74,165,05580
-74,166,05581
-74,167,05582
-74,168,05583
-74,169,05584
-74,170,05585
-74,171,05586
-74,172,05587
-74,173,05588
-74,174,05589
-74,175,05590
-74,176,05591
-74,177,05592
-74,178,05593
-74,179,05594
-74,180,05595
-73,-180,05957
-73,-179,05958
-73,-178,05959
-73,-177,05960
-73,-176,05961
-73,-175,05962
-73,-174,05963
-73,-173,05964
-73,-172,05965
-73,-171,05966
-73,-170,05967
-73,-169,05968
-73,-168,05969
-73,-167,05970
-73,-166,05971
-73,-165,05972
-73,-164,05973
-73,-163,05974
-73,-162,05975
-73,-161,05976
-73,-160,05977
-73,-159,05978
-73,-158,05979
-73,-157,05980
-73,-156,05981
-73,-155,05982
-73,-154,05983
-73,-153,05984
-73,-152,05985
-73,-151,05986
-73,-150,05987
-73,-149,05988
-73,-148,05989
-73,-147,05990
-73,-146,05991
-73,-145,05992
-73,-144,05993
-73,-143,05994
-73,-142,05995
-73,-141,05996
-73,-140,05997
-73,-139,05998
-73,-138,05999
-73,-137,06000
-73,-136,06001
-73,-135,06002
-73,-134,06003
-73,-133,06004
-73,-132,06005
-73,-131,06006
-73,-130,06007
-73,-129,06008
-73,-128,06009
-73,-127,06010
-73,-126,06011
-73,-125,06012
-73,-124,06013
-73,-123,06014
-73,-122,06015
-73,-121,06016
-73,-120,06017
-73,-119,06018
-73,-118,06019
-73,-117,06020
-73,-116,06021
-73,-115,06022
-73,-114,06023
-73,-113,06024
-73,-112,06025
-73,-111,06026
-73,-110,06027
-73,-109,06028
-73,-108,06029
-73,-107,06030
-73,-106,06031
-73,-105,06032
-73,-102,06035
-73,-101,06036
-73,-100,06037
-73,-99,06038
-73,-98,06039
-73,-97,06040
-73,-96,06041
-73,-95,06042
-73,-94,06043
-73,-93,06044
-73,-92,06045
-73,-91,06046
-73,-90,06047
-73,-89,06048
-73,-88,06049
-73,-87,06050
-73,-86,06051
-73,-85,06052
-73,-84,06053
-73,-83,06054
-73,-82,06055
-73,-81,06056
-73,-80,06057
-73,-79,06058
-73,-78,06059
-73,-77,06060
-73,-76,06061
-73,-75,06062
-73,-74,06063
-73,-73,06064
-73,-72,06065
-73,-71,06066
-73,-70,06067
-73,-62,06075
-73,-61,06076
-73,-60,06077
-73,-59,06078
-73,-58,06079
-73,-57,06080
-73,-56,06081
-73,-55,06082
-73,-54,06083
-73,-53,06084
-73,-52,06085
-73,-51,06086
-73,-50,06087
-73,-49,06088
-73,-48,06089
