year,month,lat,lng,probability
8,2,70,58,0.00028
8,2,70,59,0.00028
8,2,70,60,0.00053
8,2,70,61,0.00061
8,2,70,62,0.00041
8,2,70,63,0.00087
8,2,70,64,0.00102
8,2,70,65,0.00096
8,2,70,66,0.00029
8,2,70,72,0.00033
8,2,70,73,0.00164
8,2,70,295,0.00026
8,2,70,304,0.00035
8,2,70,341,0.00035
8,2,70,346,0.00028
8,2,70,348,0.00027
8,2,71,7,0.00025
8,2,71,10,0.00029
8,2,71,11,0.00039
8,2,71,12,0.00055
8,2,71,13,0.00066
8,2,71,14,0.00038
8,2,71,15,0.00049
8,2,71,18,0.00035
8,2,71,19,0.00041
8,2,71,20,0.00087
8,2,71,21,0.00069
8,2,71,23,0.00027
8,2,71,26,0.00042
8,2,71,27,0.00036
8,2,71,28,0.00035
8,2,71,29,0.00054
8,2,71,30,0.00043
8,2,71,31,0.00043
8,2,71,33,0.00035
8,2,71,34,0.0003
8,2,71,35,0.00068
8,2,71,36,0.00129
8,2,71,37,0.0008
8,2,71,38,0.00031
8,2,71,39,0.00026
8,2,71,40,0.00034
8,2,71,41,0.00029
8,2,71,46,0.00041
8,2,71,47,0.00034
8,2,71,48,0.00029
8,2,71,49,0.00043
8,2,71,50,0.00072
8,2,71,51,0.00049
8,2,71,58,0.00049
8,2,71,59,0.00057
8,2,71,60,0.00095
8,2,71,61,0.00125
8,2,71,62,0.00204
8,2,71,63,0.00177
8,2,71,64,0.00173
8,2,71,65,0.00104
8,2,71,66,0.00051
8,2,71,67,0.00087
8,2,71,68,0.0012
8,2,71,72,0.00154
8,2,71,73,0.00143
8,2,71,75,0.00026
8,2,71,337,0.00059
8,2,71,338,0.00042
8,2,71,339,0.00045
8,2,71,340,0.00026
8,2,71,352,0.00067
8,2,71,353,0.00039
8,2,71,354,0.00028
8,2,71,355,0.00032
8,2,71,357,0.00056
8,2,72,0,0.00043
8,2,72,1,0.00061
8,2,72,8,0.0003
8,2,72,10,0.00028
8,2,72,11,0.00038
8,2,72,12,0.0006
8,2,72,13,0.00066
8,2,72,14,0.00058
8,2,72,15,0.00038
8,2,72,16,0.00073
8,2,72,17,0.00029
8,2,72,18,0.00034
8,2,72,19,0.00048
8,2,72,20,0.00072
8,2,72,21,0.00071
8,2,72,22,0.00034
8,2,72,23,0.00044
8,2,72,24,0.00047
8,2,72,25,0.00057
8,2,72,27,0.00031
8,2,72,29,0.00033
8,2,72,30,0.0012
8,2,72,31,0.0016
8,2,72,32,0.00143
8,2,72,33,0.00096
8,2,72,34,0.00078
8,2,72,35,0.00043
8,2,72,36,0.0011
8,2,72,37,0.00049
8,2,72,38,0.0017
8,2,72,39,0.00069
8,2,72,40,0.00044
8,2,72,41,0.00038
8,2,72,44,0.00025
8,2,72,45,0.00029
8,2,72,46,0.00031
8,2,72,48,0.001
8,2,72,49,0.00208
8,2,72,50,0.00111
8,2,72,51,0.00068
8,2,72,58,0.00035
8,2,72,59,0.00071
8,2,72,60,0.00064
8,2,72,61,0.00193
8,2,72,62,0.00346
8,2,72,63,0.00314
8,2,72,64,0.00224
8,2,72,65,0.00309
8,2,72,66,0.0021
8,2,72,67,0.00318
8,2,72,68,0.00999
8,2,72,69,0.00145
8,2,72,70,0.00037
8,2,72,71,0.00105
8,2,72,72,0.0019
8,2,72,73,0.00094
8,2,72,74,0.00129
8,2,72,75,0.00061
8,2,72,76,0.00147
8,2,72,304,0.00041
8,2,72,336,0.00033
8,2,72,341,0.00038
8,2,72,342,0.00045
8,2,72,343,0.00027
8,2,72,351,0.00038
8,2,72,352,0.00073
8,2,72,353,0.00047
8,2,72,355,0.0004
8,2,72,356,0.00078
8,2,72,357,0.00043
8,2,72,358,0.00053
8,2,72,359,0.0005
8,2,73,0,0.00045
8,2,73,1,0.00058
8,2,73,4,0.00045
8,2,73,7,0.0005
8,2,73,8,0.00058
8,2,73,9,0.00048
